"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","verifyTransactionOrderNumber","POS Suite","2026-03-11","skipped","2026-03-11","Testcases.Transaction1","POS Test - User2","Testcases.Transaction1","verifyTransactionOrderNumber"
"","11209","verifyReturnFlow","POS Suite","2026-03-10","broken","2026-03-10","Testcases.Return","POS Test - User1","Testcases.Return","verifyReturnFlow"
"","1","teardown","POS Suite","2026-03-09","broken","2026-03-09","Testcases.Exchanges","POS Test","Testcases.Exchanges","teardown"
"","18","login","POS Suite","2026-01-05","broken","2026-01-05","Testcases.Test1","POS Test","Testcases.Test1","login"
"","1723","validateitemdata","POS Suite","2026-03-10","broken","2026-03-10","Testcases.Transaction1","POS Test - User1","Testcases.Transaction1","validateitemdata"
"","2","setup","POS Suite","2025-12-23","broken","2025-12-23","Testcases.Transaction1","POS Test","Testcases.Transaction1","setup"
"","70710","validateitemdata","POS Suite","2026-03-11","passed","2026-03-11","Testcases.Transaction1","POS Test - User1","Testcases.Transaction1","validateitemdata"
"","2","setup","POS Suite","2026-01-14","broken","2026-01-14","Testcases.Return","POS Test","Testcases.Return","setup"
"","10662","PositiveExchanges","POS Suite","2026-03-11","broken","2026-03-11","Testcases.Exchanges","POS Test - User2","Testcases.Exchanges","PositiveExchanges"
"","1","teardown","POS Suite","2026-03-10","broken","2026-03-10","Testcases.Exchanges","POS Test - User1","Testcases.Exchanges","teardown"
"","0","verifyTransactionOrderNumber","POS Suite","2026-03-10","skipped","2026-03-10","Testcases.Transaction1","POS Test - User1","Testcases.Transaction1","verifyTransactionOrderNumber"
"","74104","verifyReturnFlow","POS Suite","2026-03-11","passed","2026-03-11","Testcases.Return","POS Test - User1","Testcases.Return","verifyReturnFlow"
"","11258","loginAndCheckoutFlow","Default suite","2026-03-10","broken","2026-03-10","Testcases.Transaction1","Default test","Testcases.Transaction1","loginAndCheckoutFlow"
"","83232","PositiveExchanges","POS Suite","2026-03-11","passed","2026-03-11","Testcases.Exchanges","POS Test - User1","Testcases.Exchanges","PositiveExchanges"
